ID#Name
3002#Prison 1 Noble lady, old perfume
3003#Prison 1 Noble lady, Noble Lothos
3004#Prison 1 Aristocratic wife, widow Lothos
3005#Prison 1 Aristocrat's wife, signpost pyroxene
3006#Prison 1 Noble lady, moonstone fragment
3007#Prison 1 Noble lady, rapier
3008#Prison 1 Noble lady, wooden catalyst
3009#Prison 1 Mrs. Noble, Buckler
3010#Prison 1 Noble lady, Black Bolt
3014#Prison 1 Noble lady, ring of greed
4000#Unclean 1Beggar woman, postmoon grass
4001#Unclean 1 Beggar woman, full moon grass
4002#Unclean 1Beggar Woman, Noble Lothos
4003#Unclean 1Beggar Woman, Widow Lothos
4004#Impure 1 Beggar woman, black rosin
4005#Impure 1 Beggar woman, Mace
4006#Unclean 1Beggar Woman, Warpick
4007#Impure 1 Beggar Woman, Halberd
4008#Unclean 1Beggar Woman, Golden Talisman
4009#Unclean 1Beggar Woman, Rotten Arrow
4010#Impure 1 Beggar Woman, Chainhelm
4011#Unclean 1Beggar Woman, Chainmail
4012#Unclean 1Beggar Woman, Chain Greaves
4013#Unclean 1 Beggar woman, hard leather boots
4014#Impure 1 Beggar Woman, Stone of Ephemeral Eyes
4050#Unclean 2 Beggar Woman, Dark Moon Grass
4051#Unclean 2 Beggar Woman, Shard of Glitterstone
4052#Impure 2 Beggar Woman, Helmet of Mildo
4053#Impure 2 Beggar Woman, Mild's Scale Armor
4054#Impure 2 Beggar Woman, Mild's Gauntlet
4055#Unclean 2 Beggar Woman, Mild's Legs
5000#Mine 1 Beggar, crescent grass
5001#Mine 1 Beggar Ed's Whetstone
5002#Mine 1 beggar, piece of hard stone
5003#Mine 1 beggar, sharp stone fragment
5004#Mine 1 Beggar, pickaxe
5050#Mine 2 Beggar, big piece of hard stone
5051#Tunnel 2 Beggar, large piece of sharp stone
5052#Mine 2 Beggar, minagi stone fragment
5053#Mine 2 Beggar, dragon stone fragment
5054#Mine 2 Beggar, Iron Knuckle
6000#patch, half moon grass
6001#patch, postmoth
6002#Patch, full moon grass
6003#Patch, Stale Perfume
6004#Patch, Keystone Fragment
6005#patch, heavy arrow
6006#patch, heavy bolt
6007#Patch, fragrant ring
6050#patch, demon tallow
6051#Patch, cat ring
6100#patch, crescent grass
6101#patch, white arrow
6151#Patch, Dark Moon Grass
6153#Patch, Ephemeral Eye Stone
7001#Magician, magic arrow
7002#Magician, Firebolt
7003#Magician, Weapon Enchantment
7004#Magician, auditory hallucination
7005#Magician, Hidden
7006#Magician, Protective membrane
7007#Witch, water screen
7050#Logan, magic arrow
7051#Logan, Firebolt
7052#Logan, Weapon Enchantment
7053#Logan, Hallucination
7054#Logan, hidden
7055#Logan, Protective membrane
7056#Logan, Water Screen
7057#Logan, Poison Cloud
7058#Logan, Fireball
7059#Logan, Penetrating Beam
7060#Logan, Funnel
7061#Logan, Superior Weapon Enchantment
7062#Logan, Death Cloud
7063#Logan, machine gun
7064#Logan, Corrosion Cloud
7065#Logan, Perfect Shield
7100#Yuria heals others
7101#Yuria, Cursed Enchantment
7102#Yuria turns into a black ghost
7103#Yulia, fire
7104#Yulia, Soul Steel
7105#Yulia, Meteor
8000#Follower of God, Ghost Camouflage
8001#Follower of God, Gate
8002#God's follower, HP recovery
8003#God's Follower, Detoxification
8050#Ulbane, Ghost Camouflage
8051#Urbain, Gate
8052#Ulbane, HP recovery
8053#Ulbane, detoxification
8054#Ulbane, self-centered explosion
8055#Urbain, Anti-Magic
8056#Urbain recovers a lot of HP
8057#Ulbane, resurrected when dead
8058#Ulbane, regenerate
8059#Ulbane, Resurrection
8060#Urbain recovers abnormal status
8061#Ulbane, black ghost retreat
9000#Baldwin, crescent grass
9001#Baldwin, Fresh Perfume
9002#Baldwin, Ed's Grindstone
9003#Baldwin, Dagger
9004#Baldwin, short sword
9005#Baldwin, Battleaxe
9006#Baldwin, Heater Shield
9007#Baldwin, Arrow
9008#Baldwin, Bolt
